date,startup,vertical,subvertical,city,investors,round,amount,Year,startup_cleaned
2019-08-01,Alteria Capital,Finance,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Venture,1155.0,2019,Alteria capital
2019-08-01,Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,314.16,2019,Pine labs
2019-08-12,Meesho,E-Commerce,Social Commerce,Bengaluru,Naspers,Series D,1031.25,2019,Meesho
2019-08-13,Cars24,E-Commerce,Car Retail,Gurugram,MS Dhoni,Series D,90.75,2019,Cars24
2019-08-13,Uniphore,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partners,Series C,420.75,2019,Uniphore
2019-08-23,Zendrive,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,305.25,2019,Zendrive
2019-08-23,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,4.125,2019,Lo! foods
2019-08-23,Tala,FinTech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,907.5,2019,Tala
2019-08-22,INDwealth,FinTech,Wealth Management,Gurgaon,Tiger Global Management,Venture,123.75,2019,Indwealth
2019-08-21,HungerBox,Food and Beverage,B2B Foodtech,Bengaluru,One97 Communications Ltd.,Series C,54.3675,2019,Hungerbox
2019-08-23,AdmitKard,EdTech,University Admissions,Noida,Growth DNA,Seed Round,8.25,2019,Admitkard
2019-08-19,Mishry Reviews,Services,Product Review,Gurgaon,Vir Sanghvi,Series A,0.0,2019,Mishry reviews
2019-08-19,Grofers,E-Commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,577.5,2019,Grofers
2019-08-27,Rapido Bike Taxi,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,32175.0,2019,Rapido bike taxi
2019-07-02,RenewBuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,156.75,2019,Renewbuy
2019-07-02,Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,20.625,2019,Atlan
2019-07-01,WizCounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel Round,1.19625,2019,Wizcounsel
2019-07-03,Ola Cabs,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,8.25,2019,Ola cabs
2019-07-01,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,314.16,2019,Uniphore
2019-07-04,Daalchini Technologies,Food and Beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed Round,4.125,2019,Daalchini technologies
2019-07-10,"""BYJU\\'S""",EdTech,Education,Bengaluru,Qatar Investment Authority,Private Equity Round,1237.5,2019,"""byju\\'s"""
2019-07-11,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,495.0,2019,Moglix
2019-07-10,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,132.0,2019,Ezyhaul
2019-07-10,Indus OS,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,47.4375,2019,Indus os
2019-07-10,HealthAssure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,20.625,2019,Healthassure
2019-07-09,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,8.25,2019,House of msasaba
2019-07-08,Board Infinity,EdTech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Round,2.63674125,2019,Board infinity
2019-06-05,NoBroker,E-Commerce,Real Estate,Bengaluru,General Atlantic,Series C,420.75,2019,Nobroker
2019-06-04,Bira91,Food and Beverage,Brewery,New Delhi,Anicut Capital,Debt Funding,82.5,2019,Bira91
2019-06-03,Avail Finance,Finance,FinTech,Bengaluru,Matrix Partners,Series A,74.25,2019,Avail finance
2019-06-04,BharatPe,Finance,FinTech,New Delhi,Insight Partners,Series B,618.75,2019,Bharatpe
2019-06-04,Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",Pre-Series A,214.5,2019,Recykal
2019-06-03,Agara Labs,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,Pre-Series A,20.625,2019,Agara labs
2019-06-06,Chakr Innovation,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,214.5,2019,Chakr innovation
2019-06-10,Bolo App,Digital Media,Video Platform,Bengaluru,Nexus Venture Partners,Seed Round,3.54915,2019,Bolo app
2019-06-10,OkCredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,127.875,2019,Okcredit
2019-06-06,Biz2Credit,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,429.0,2019,Biz2credit
2019-06-08,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,29.568,2019,Vogo automotive pvt
2019-06-04,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,28.05,2019,Leegality
2019-05-06,Ola Electric,Transport,Cabs,Bengaluru,Tata Sons,Series A,0.0,2019,Ola electric
2019-05-06,Saahas Zero Waste,Waste Management Service,Optimization,Bengaluru,C4D Partners,Venture,7.16595,2019,Saahas zero waste
2019-05-05,StyleDotMe,E-commerce,Fashion and Shopping,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,0.0,2019,Styledotme
2019-05-01,BlackBuck,Transport,Logistics,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,1237.5,2019,Blackbuck
2019-05-02,Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,412.5,2019,Zenoti
2019-05-28,Ather Energy,Automobile,Electric Vehicle,Bengaluru,Sachin Bansal,Series C,420.75,2019,Ather energy
2019-05-28,FreshVnF,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Round,1155.0,2019,Freshvnf
2019-05-30,GlowRoad,E-commerce,Retail,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,94.875,2019,Glowroad
